id,carat,cut,color,clarity,depth,table,x,y,z,price
0,1.52,Premium,F,VS2,62.2,58,7.27,7.33,4.55,13619
1,2.03,Very Good,J,SI2,62,58,8.06,8.12,5.05,13387
2,0.7,Ideal,G,VS1,61.2,57,5.69,5.73,3.5,2772
3,0.32,Ideal,G,VS1,61.6,56,4.38,4.41,2.71,666
4,1.7,Premium,G,VS2,62.6,59,7.65,7.61,4.77,14453
5,1.51,Very Good,J,SI1,62.8,58,7.34,7.29,4.59,7506
6,0.74,Ideal,E,VS2,61.8,57,5.76,5.79,3.57,3229
7,1.34,Premium,G,SI2,62.5,57,7,7.05,4.38,6224
8,0.3,Ideal,F,IF,62,56,4.35,4.37,2.7,886
9,0.3,Good,J,VS1,63.6,57,4.26,4.28,2.72,421
10,1.01,Very Good,G,VS2,63.1,57,6.4,6.34,4.03,5914
11,0.23,Ideal,E,VVS2,62,57,3.96,3.98,2.46,505
12,1.01,Good,D,SI1,63.1,56,6.41,6.35,4.03,5703
13,0.31,Ideal,G,VVS1,61.8,56,4.37,4.39,2.71,789
14,1.01,Good,H,SI1,62.6,59,6.34,6.4,3.99,4612
15,0.33,Premium,E,VS2,61.7,59,4.39,4.43,2.72,723
16,1.06,Premium,E,SI2,60.9,59,6.61,6.56,4.01,4399
17,0.26,Very Good,F,VVS2,61.7,57,4.1,4.13,2.53,574
18,1.01,Premium,G,VVS1,61.8,58,6.44,6.37,3.96,8701
19,0.73,Very Good,G,VS2,63.1,57,5.77,5.75,3.63,2652
20,0.7,Ideal,F,VS1,62.2,56,5.67,5.72,3.54,3018
21,0.39,Ideal,E,VS2,61.6,54,4.67,4.72,2.89,853
22,0.25,Ideal,E,VS2,61.4,57,4.05,4.08,2.48,470
23,0.33,Premium,H,SI1,62.1,59,4.43,4.46,2.76,631
24,0.7,Ideal,F,SI1,61.8,54,5.71,5.73,3.54,2473
25,0.4,Very Good,F,VS1,62.3,54,4.69,4.73,2.93,905
26,0.71,Ideal,E,SI1,61.7,56,5.74,5.76,3.55,2404
27,0.5,Ideal,E,VS1,61.4,54,5.13,5.18,3.17,1778
28,1.11,Premium,D,SI1,60.6,59,6.74,6.68,4.06,5877
29,0.37,Premium,F,SI1,61.4,60,4.63,4.61,2.83,945
30,0.38,Ideal,G,SI1,60.7,57,4.68,4.73,2.86,755
31,0.9,Fair,F,SI1,66.8,58,6.05,5.99,3.97,2977
32,0.7,Ideal,I,VS1,62.8,54,5.66,5.68,3.56,2390
33,0.35,Ideal,D,VS1,60.9,56,4.58,4.61,2.8,1065
34,0.41,Ideal,D,VS1,62.9,54,4.73,4.76,2.98,1067
35,0.57,Ideal,G,SI1,61.5,55,5.37,5.32,3.31,1378
36,0.32,Very Good,H,VVS2,63.5,56,4.34,4.31,2.74,730
37,0.35,Ideal,F,VS2,61.4,56,4.53,4.55,2.79,806
38,0.9,Very Good,E,SI2,62.9,57,6.13,6.18,3.88,3084
39,0.4,Ideal,D,SI1,61.6,56,4.74,4.77,2.93,791
40,0.7,Very Good,D,VS2,62.1,58,5.65,5.68,3.52,3303
41,0.3,Ideal,D,VS2,61.3,59,4.33,4.31,2.64,911
42,0.31,Ideal,H,VS2,61.6,54,4.35,4.38,2.69,523
43,1.5,Very Good,G,SI1,63.3,56,7.27,7.29,4.61,10574
44,1,Premium,E,SI1,62.7,60,6.43,6.39,4.02,5105
45,1,Ideal,G,SI1,62.7,54,6.38,6.32,3.98,4672
46,0.9,Premium,E,SI1,61.8,61,6.19,6.12,3.8,3625
47,0.3,Premium,F,VS2,62.2,59,4.33,4.29,2.68,524
48,0.42,Ideal,G,VS1,61.6,56,4.82,4.85,2.98,877
49,1.04,Fair,G,VS1,65.4,59,6.31,6.39,4.16,6342
50,0.43,Premium,I,VVS1,62.2,59,4.8,4.82,3,1023
51,0.31,Very Good,H,VS1,62.9,55,4.33,4.35,2.73,541
52,1.2,Premium,J,SI1,63,58,6.75,6.71,4.26,4276
53,1.01,Ideal,E,SI2,62.3,57,6.42,6.45,4.01,4989
54,0.31,Ideal,F,VS2,62.3,55,4.35,4.37,2.71,696
55,0.7,Very Good,G,VS2,63,56,5.66,5.69,3.58,2530
56,0.77,Premium,E,VS1,61.1,58,5.89,5.95,3.61,3423
57,0.3,Ideal,G,VVS1,62.6,57,4.29,4.26,2.67,1013
58,0.52,Ideal,G,VVS2,61.8,57,5.19,5.17,3.2,1835
59,0.4,Very Good,E,SI1,62.9,54,4.74,4.77,2.99,898
60,0.85,Very Good,G,SI1,62.3,57,6.1,6.06,3.78,2968
61,1.51,Good,J,VVS1,63.7,58,7.19,7.3,4.62,11184
62,0.9,Ideal,H,VS2,60.7,55,6.15,6.11,3.72,3715
63,0.31,Ideal,G,VVS1,61.9,56,4.4,4.38,2.72,1046
64,0.35,Ideal,G,VS1,60.8,57,4.61,4.57,2.79,906
65,0.33,Ideal,I,VVS1,62.3,53,4.44,4.42,2.76,803
66,1.06,Ideal,E,VVS2,61.9,57,6.52,6.56,4.05,10378
